invoice_id,customer_id,invoice_date,due_date,period,product_id,product_description,product_category,quantity,unit_price,gross_amount,discount_amount,net_amount,tax_amount,total_amount,status,gl_entry_id,salesperson,territory,po_number,notes
INV-00113,CUST-052,2026-01-04,2026-02-03,2026-01,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,12,7774.8,93297.57,0.0,93297.57,0.0,93297.57,Paid,GL-INV-00113,Yuki Tanaka,Southeast,PO-300845,
INV-00114,CUST-053,2026-01-25,2026-03-11,2026-01,PROD-008,CytoGuard ELISA Kit,Diagnostic,71,843.29,59873.88,0.0,59873.88,0.0,59873.88,Paid,GL-INV-00114,Yuki Tanaka,International,PO-396745,
INV-00115,CUST-054,2026-01-12,2026-02-26,2026-01,PROD-014,Clinical Trial Supply Kit,Clinical Supply,4,9253.59,37014.34,0.0,37014.34,0.0,37014.34,Paid,GL-INV-00115,Tom Kane,Midwest,PO-114835,
INV-00116,CUST-055,2026-01-02,2026-02-01,2026-01,PROD-003,CellFlex Reagent Kit,Research Reagent,18,1093.65,19685.78,0.0,19685.78,0.0,19685.78,Paid,GL-INV-00116,Yuki Tanaka,Midwest,PO-831295,
INV-00117,CUST-056,2026-01-01,2026-02-15,2026-01,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,2,20364.23,40728.46,0.0,40728.46,0.0,40728.46,Paid,GL-INV-00117,Yuki Tanaka,Midwest,PO-592198,
INV-00118,CUST-057,2026-01-09,2026-02-08,2026-01,PROD-006,ProteaScreen Assay,Research Reagent,12,1084.31,13011.67,0.0,13011.67,0.0,13011.67,Paid,GL-INV-00118,Brett Long,Northeast,PO-962050,
INV-00119,CUST-058,2026-01-22,2026-02-21,2026-01,PROD-008,CytoGuard ELISA Kit,Diagnostic,5,814.52,4072.6,0.0,4072.6,0.0,4072.6,Paid,GL-INV-00119,Sara Hill,Southeast,PO-256445,
INV-00120,CUST-059,2026-01-04,2026-02-18,2026-01,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,1,7465.12,7465.12,0.0,7465.12,0.0,7465.12,Paid,GL-INV-00120,Yuki Tanaka,West,PO-735770,
INV-00121,CUST-060,2026-01-13,2026-02-12,2026-01,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,1,92983.49,27662.52,0.0,27662.52,0.0,27662.52,Short Pay - Open,GL-INV-00121,Brett Long,West,PO-411797,SCENARIO: Short pay; balance due 3037.65
INV-00122,CUST-001,2026-02-02,2026-03-04,2026-02,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,20,12505.89,250117.77,0.0,250117.77,0.0,250117.77,Paid,GL-INV-00122,Yuki Tanaka,Northeast,PO-899787,
INV-00123,CUST-001,2026-02-22,2026-03-24,2026-02,PROD-004,GenomiX Sequencing Panel,Diagnostic,81,3620.47,293258.39,0.0,293258.39,0.0,293258.39,Open,GL-INV-00123,Sara Hill,Southeast,PO-351516,
INV-00124,CUST-002,2026-02-15,2026-04-01,2026-02,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,41,7385.49,302804.89,0.0,302804.89,0.0,302804.89,Open,GL-INV-00124,Yuki Tanaka,West,PO-405407,
INV-00125,CUST-002,2026-02-10,2026-03-27,2026-02,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,60,4374.12,262447.08,0.0,262447.08,0.0,262447.08,Paid,GL-INV-00125,Brett Long,Northeast,PO-820775,
INV-00126,CUST-002,2026-02-21,2026-04-07,2026-02,PROD-004,GenomiX Sequencing Panel,Diagnostic,68,4168.44,283453.69,0.0,283453.69,0.0,283453.69,Open,GL-INV-00126,Yuki Tanaka,Southeast,PO-545790,
INV-00127,CUST-002,2026-02-05,2026-03-22,2026-02,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,18,7840.86,141135.47,0.0,141135.47,0.0,141135.47,Paid,GL-INV-00127,Nadia Osei,Southeast,PO-174878,
INV-00128,CUST-002,2026-02-20,2026-04-06,2026-02,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,6,4941.71,29650.24,0.0,29650.24,0.0,29650.24,Open,GL-INV-00128,Yuki Tanaka,Midwest,PO-560485,
INV-00129,CUST-002,2026-02-23,2026-04-09,2026-02,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,8,8791.79,70334.32,0.0,70334.32,0.0,70334.32,Open,GL-INV-00129,Brett Long,Midwest,PO-624783,
INV-00130,CUST-002,2026-02-20,2026-04-06,2026-02,PROD-009,BioTrack Monitoring Software (Annual),Software,1,25235.99,16675.0,0.0,16675.0,0.0,16675.0,Open,GL-INV-00130,Sara Hill,West,PO-870214,
INV-00131,CUST-003,2026-02-01,2026-03-03,2026-02,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,37,23029.18,852079.52,0.0,852079.52,0.0,852079.52,Open,GL-INV-00131,Nadia Osei,International,PO-142185,
INV-00132,CUST-004,2026-02-15,2026-04-01,2026-02,PROD-003,CellFlex Reagent Kit,Research Reagent,482,1235.69,595602.17,0.0,595602.17,0.0,595602.17,Open,GL-INV-00132,Nadia Osei,Southeast,PO-713762,
INV-00133,CUST-004,2026-02-16,2026-04-02,2026-02,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,32,13707.17,438629.3,0.0,438629.3,0.0,438629.3,Open,GL-INV-00133,Nadia Osei,West,PO-449499,
INV-00134,CUST-004,2026-02-06,2026-03-23,2026-02,PROD-006,ProteaScreen Assay,Research Reagent,3,879.84,2639.53,0.0,2639.53,0.0,2639.53,Paid,GL-INV-00134,Nadia Osei,West,PO-827369,
INV-00135,CUST-004,2026-02-13,2026-03-30,2026-02,PROD-008,CytoGuard ELISA Kit,Diagnostic,1,831.2,473.4,0.0,473.4,0.0,473.4,Paid,GL-INV-00135,Yuki Tanaka,Northeast,PO-576919,
INV-00136,CUST-005,2026-02-25,2026-03-27,2026-02,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,42,6038.37,253611.65,0.0,253611.65,0.0,253611.65,Open,GL-INV-00136,Brett Long,International,PO-964998,
INV-00137,CUST-005,2026-02-07,2026-03-09,2026-02,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,60,4514.9,270894.21,0.0,270894.21,0.0,270894.21,Open,GL-INV-00137,Yuki Tanaka,Midwest,PO-752878,
INV-00138,CUST-005,2026-02-25,2026-03-27,2026-02,PROD-013,RegulatoryAI Platform License,Software,1,19014.34,19014.34,0.0,19014.34,0.0,19014.34,Open,GL-INV-00138,Sara Hill,Southeast,PO-380028,
INV-00139,CUST-005,2026-02-15,2026-03-17,2026-02,PROD-009,BioTrack Monitoring Software (Annual),Software,1,28297.95,9730.15,0.0,9730.15,0.0,9730.15,Paid,GL-INV-00139,Brett Long,Northeast,PO-130271,
INV-00140,CUST-006,2026-02-06,2026-03-08,2026-02,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,7,81585.07,571095.5,0.0,571095.5,0.0,571095.5,Paid,GL-INV-00140,Nadia Osei,International,PO-114338,
INV-00141,CUST-006,2026-02-27,2026-03-29,2026-02,PROD-009,BioTrack Monitoring Software (Annual),Software,2,23082.56,46165.12,0.0,46165.12,0.0,46165.12,Paid,GL-INV-00141,Sara Hill,West,PO-223172,
INV-00142,CUST-007,2026-02-10,2026-03-27,2026-02,PROD-003,CellFlex Reagent Kit,Research Reagent,256,1359.8,348107.76,0.0,348107.76,0.0,348107.76,Open,GL-INV-00142,Yuki Tanaka,Midwest,PO-535673,
INV-00143,CUST-007,2026-02-08,2026-03-25,2026-02,PROD-014,Clinical Trial Supply Kit,Clinical Supply,8,10878.08,87024.65,0.0,87024.65,0.0,87024.65,Open,GL-INV-00143,Brett Long,International,PO-251668,
INV-00144,CUST-008,2026-02-05,2026-03-07,2026-02,PROD-015,BioProcess Training Service,Professional Service,77,4108.24,316334.55,0.0,316334.55,0.0,316334.55,Paid,GL-INV-00144,Sara Hill,Midwest,PO-910208,
INV-00145,CUST-008,2026-02-26,2026-03-28,2026-02,PROD-013,RegulatoryAI Platform License,Software,4,17729.44,70917.75,0.0,70917.75,0.0,70917.75,Paid,GL-INV-00145,Yuki Tanaka,Midwest,PO-960408,
INV-00146,CUST-009,2026-02-19,2026-03-21,2026-02,PROD-012,PharmaGrade Excipient Bulk,Raw Material,39,3549.98,138449.25,0.0,138449.25,0.0,138449.25,Paid,GL-INV-00146,Brett Long,Southeast,PO-568238,
INV-00147,CUST-009,2026-02-18,2026-03-20,2026-02,PROD-009,BioTrack Monitoring Software (Annual),Software,8,24657.02,197256.2,0.0,197256.2,0.0,197256.2,Open,GL-INV-00147,Yuki Tanaka,West,PO-577463,
INV-00148,CUST-009,2026-02-23,2026-03-25,2026-02,PROD-015,BioProcess Training Service,Professional Service,2,4469.6,8939.2,0.0,8939.2,0.0,8939.2,Paid,GL-INV-00148,Tom Kane,International,PO-501574,
INV-00149,CUST-009,2026-02-24,2026-03-26,2026-02,PROD-004,GenomiX Sequencing Panel,Diagnostic,1,3461.46,1136.82,0.0,1136.82,0.0,1136.82,Open,GL-INV-00149,Brett Long,West,PO-504832,
INV-00150,CUST-010,2026-02-05,2026-03-22,2026-02,PROD-013,RegulatoryAI Platform License,Software,27,19134.09,516620.31,0.0,516620.31,0.0,516620.31,Paid,GL-INV-00150,Brett Long,Northeast,PO-232378,
INV-00151,CUST-011,2026-02-28,2026-03-30,2026-02,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,11,94981.13,1044792.45,0.0,1044792.45,0.0,1044792.45,Paid,GL-INV-00151,Brett Long,Northeast,PO-651499,
INV-00152,CUST-011,2026-02-05,2026-03-07,2026-02,PROD-015,BioProcess Training Service,Professional Service,59,3615.35,213305.51,0.0,213305.51,0.0,213305.51,Paid,GL-INV-00152,Brett Long,Southeast,PO-178463,
INV-00153,CUST-011,2026-02-23,2026-03-25,2026-02,PROD-008,CytoGuard ELISA Kit,Diagnostic,68,768.02,52225.32,0.0,52225.32,0.0,52225.32,Paid,GL-INV-00153,Brett Long,Northeast,PO-993140,
INV-00154,CUST-011,2026-02-11,2026-03-13,2026-02,PROD-006,ProteaScreen Assay,Research Reagent,69,945.25,65222.4,0.0,65222.4,0.0,65222.4,Paid,GL-INV-00154,Brett Long,International,PO-137642,
INV-00155,CUST-011,2026-02-22,2026-03-24,2026-02,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,1,81488.87,7580.18,0.0,7580.18,0.0,7580.18,Paid,GL-INV-00155,Nadia Osei,Southeast,PO-883041,
INV-00156,CUST-012,2026-02-23,2026-03-25,2026-02,PROD-012,PharmaGrade Excipient Bulk,Raw Material,52,3234.94,168217.03,0.0,168217.03,0.0,168217.03,Paid,GL-INV-00156,Nadia Osei,Northeast,PO-148225,
INV-00157,CUST-012,2026-02-12,2026-03-14,2026-02,PROD-006,ProteaScreen Assay,Research Reagent,115,924.67,106337.61,0.0,106337.61,0.0,106337.61,Paid,GL-INV-00157,Brett Long,Southeast,PO-356059,
INV-00158,CUST-012,2026-02-26,2026-03-28,2026-02,PROD-009,BioTrack Monitoring Software (Annual),Software,27,26037.05,703000.36,0.0,703000.36,0.0,703000.36,Open,GL-INV-00158,Tom Kane,Southeast,PO-283573,
INV-00159,CUST-012,2026-02-20,2026-03-22,2026-02,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,40,9165.22,366608.85,0.0,366608.85,0.0,366608.85,Paid,GL-INV-00159,Tom Kane,West,PO-711484,
INV-00160,CUST-012,2026-02-09,2026-03-11,2026-02,PROD-003,CellFlex Reagent Kit,Research Reagent,15,1218.34,18275.17,0.0,18275.17,0.0,18275.17,Paid,GL-INV-00160,Brett Long,Midwest,PO-799233,
INV-00161,CUST-013,2026-02-22,2026-03-24,2026-02,PROD-013,RegulatoryAI Platform License,Software,60,20255.44,1215326.54,0.0,1215326.54,0.0,1215326.54,Paid,GL-INV-00161,Yuki Tanaka,Southeast,PO-177449,
INV-00162,CUST-013,2026-02-10,2026-03-12,2026-02,PROD-008,CytoGuard ELISA Kit,Diagnostic,23,894.59,20575.62,0.0,20575.62,0.0,20575.62,Paid,GL-INV-00162,Brett Long,Midwest,PO-579027,
INV-00163,CUST-013,2026-02-13,2026-03-15,2026-02,PROD-014,Clinical Trial Supply Kit,Clinical Supply,1,9023.14,9023.14,0.0,9023.14,0.0,9023.14,Open,GL-INV-00163,Brett Long,Northeast,PO-348728,
INV-00164,CUST-014,2026-02-10,2026-03-27,2026-02,PROD-006,ProteaScreen Assay,Research Reagent,152,1090.76,165796.18,0.0,165796.18,0.0,165796.18,Open,GL-INV-00164,Sara Hill,West,PO-387813,
INV-00165,CUST-015,2026-02-24,2026-03-26,2026-02,PROD-014,Clinical Trial Supply Kit,Clinical Supply,2,10712.72,21425.43,0.0,21425.43,0.0,21425.43,Paid,GL-INV-00165,Brett Long,Midwest,PO-913423,
INV-00166,CUST-015,2026-02-12,2026-03-14,2026-02,PROD-013,RegulatoryAI Platform License,Software,4,18931.79,75727.17,0.0,75727.17,0.0,75727.17,Paid,GL-INV-00166,Tom Kane,Southeast,PO-751051,
INV-00167,CUST-015,2026-02-21,2026-03-23,2026-02,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,5,6870.9,34354.52,0.0,34354.52,0.0,34354.52,Open,GL-INV-00167,Sara Hill,Midwest,PO-926918,
INV-00168,CUST-016,2026-02-03,2026-03-20,2026-02,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,1,92062.65,92062.65,0.0,92062.65,0.0,92062.65,Paid,GL-INV-00168,Nadia Osei,Midwest,PO-883790,
INV-00169,CUST-017,2026-02-12,2026-03-29,2026-02,PROD-004,GenomiX Sequencing Panel,Diagnostic,5,4167.19,20835.94,0.0,20835.94,0.0,20835.94,Open,GL-INV-00169,Yuki Tanaka,International,PO-385765,
INV-00170,CUST-018,2026-02-10,2026-03-12,2026-02,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,8,7422.0,59375.99,0.0,59375.99,0.0,59375.99,Paid,GL-INV-00170,Nadia Osei,Northeast,PO-591081,
INV-00171,CUST-019,2026-02-24,2026-04-10,2026-02,PROD-003,CellFlex Reagent Kit,Research Reagent,58,1338.04,77606.45,0.0,77606.45,0.0,77606.45,Open,GL-INV-00171,Brett Long,International,PO-483542,
INV-00172,CUST-020,2026-02-04,2026-03-06,2026-02,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,1,11593.38,11593.38,0.0,11593.38,0.0,11593.38,Paid,GL-INV-00172,Brett Long,Midwest,PO-805511,
INV-00173,CUST-020,2026-02-13,2026-03-15,2026-02,PROD-012,PharmaGrade Excipient Bulk,Raw Material,44,3089.73,135948.08,0.0,135948.08,0.0,135948.08,Paid,GL-INV-00173,Nadia Osei,Northeast,PO-807617,
INV-00174,CUST-021,2026-02-18,2026-03-20,2026-02,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,40,5044.76,201790.57,0.0,201790.57,0.0,201790.57,Paid,GL-INV-00174,Nadia Osei,International,PO-332120,
INV-00175,CUST-021,2026-02-15,2026-03-17,2026-02,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,1,23294.72,23294.72,0.0,23294.72,0.0,23294.72,Paid,GL-INV-00175,Nadia Osei,West,PO-222343,
INV-00176,CUST-022,2026-02-04,2026-03-21,2026-02,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,39,5170.42,201646.31,0.0,201646.31,0.0,201646.31,Paid,GL-INV-00176,Sara Hill,Southeast,PO-663658,
INV-00177,CUST-022,2026-02-22,2026-04-08,2026-02,PROD-003,CellFlex Reagent Kit,Research Reagent,50,1216.09,60804.66,0.0,60804.66,0.0,60804.66,Open,GL-INV-00177,Yuki Tanaka,West,PO-715870,
INV-00178,CUST-022,2026-02-14,2026-03-31,2026-02,PROD-012,PharmaGrade Excipient Bulk,Raw Material,24,3003.62,72086.84,0.0,72086.84,0.0,72086.84,Paid,GL-INV-00178,Sara Hill,West,PO-745558,
INV-00179,CUST-022,2026-02-12,2026-03-29,2026-02,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,1,10898.15,10898.15,0.0,10898.15,0.0,10898.15,Paid,GL-INV-00179,Tom Kane,West,PO-566297,
INV-00180,CUST-023,2026-02-22,2026-03-24,2026-02,PROD-014,Clinical Trial Supply Kit,Clinical Supply,47,8785.97,412940.46,0.0,412940.46,0.0,412940.46,Paid,GL-INV-00180,Nadia Osei,International,PO-776149,
INV-00181,CUST-023,2026-02-07,2026-03-09,2026-02,PROD-006,ProteaScreen Assay,Research Reagent,32,949.56,30385.86,0.0,30385.86,0.0,30385.86,Paid,GL-INV-00181,Sara Hill,West,PO-196126,
INV-00182,CUST-024,2026-02-01,2026-03-03,2026-02,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,21,23084.3,484770.36,0.0,484770.36,0.0,484770.36,Paid,GL-INV-00182,Sara Hill,Midwest,PO-355400,
INV-00183,CUST-024,2026-02-03,2026-03-05,2026-02,PROD-003,CellFlex Reagent Kit,Research Reagent,51,1249.37,63718.04,0.0,63718.04,0.0,63718.04,Paid,GL-INV-00183,Yuki Tanaka,Southeast,PO-714867,
INV-00184,CUST-025,2026-02-05,2026-03-07,2026-02,PROD-014,Clinical Trial Supply Kit,Clinical Supply,15,9330.33,139954.93,0.0,139954.93,0.0,139954.93,Paid,GL-INV-00184,Yuki Tanaka,Northeast,PO-390743,
INV-00185,CUST-025,2026-02-18,2026-03-20,2026-02,PROD-014,Clinical Trial Supply Kit,Clinical Supply,5,10895.38,54476.89,0.0,54476.89,0.0,54476.89,Paid,GL-INV-00185,Nadia Osei,Southeast,PO-215266,
INV-00186,CUST-025,2026-02-12,2026-03-14,2026-02,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,1,20524.92,20524.92,0.0,20524.92,0.0,20524.92,Paid,GL-INV-00186,Tom Kane,International,PO-439498,
INV-00187,CUST-026,2026-02-14,2026-03-31,2026-02,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,4,6055.98,24223.93,0.0,24223.93,0.0,24223.93,Paid,GL-INV-00187,Yuki Tanaka,Northeast,PO-881886,
INV-00188,CUST-026,2026-02-12,2026-03-29,2026-02,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,31,8298.96,257267.89,0.0,257267.89,0.0,257267.89,Paid,GL-INV-00188,Yuki Tanaka,International,PO-214351,
INV-00189,CUST-026,2026-02-20,2026-04-06,2026-02,PROD-008,CytoGuard ELISA Kit,Diagnostic,129,745.2,96131.08,0.0,96131.08,0.0,96131.08,Open,GL-INV-00189,Sara Hill,International,PO-416282,
INV-00190,CUST-026,2026-02-02,2026-03-19,2026-02,PROD-008,CytoGuard ELISA Kit,Diagnostic,42,889.99,37379.37,0.0,37379.37,0.0,37379.37,Paid,GL-INV-00190,Brett Long,West,PO-546980,
INV-00191,CUST-027,2026-02-03,2026-03-20,2026-02,PROD-008,CytoGuard ELISA Kit,Diagnostic,365,879.39,320977.96,0.0,320977.96,0.0,320977.96,Paid,GL-INV-00191,Sara Hill,Midwest,PO-737846,
INV-00192,CUST-028,2026-02-19,2026-03-21,2026-02,PROD-003,CellFlex Reagent Kit,Research Reagent,36,1267.3,45622.63,0.0,45622.63,0.0,45622.63,Open,GL-INV-00192,Yuki Tanaka,Midwest,PO-499407,
INV-00193,CUST-029,2026-02-20,2026-04-06,2026-02,PROD-009,BioTrack Monitoring Software (Annual),Software,3,25335.72,76007.16,0.0,76007.16,0.0,76007.16,Paid,GL-INV-00193,Brett Long,Northeast,PO-931621,
INV-00194,CUST-030,2026-02-07,2026-03-09,2026-02,PROD-014,Clinical Trial Supply Kit,Clinical Supply,9,10261.99,92357.95,0.0,92357.95,0.0,92357.95,Paid,GL-INV-00194,Brett Long,West,PO-339592,
INV-00195,CUST-031,2026-02-24,2026-04-10,2026-02,PROD-014,Clinical Trial Supply Kit,Clinical Supply,4,9496.98,37987.94,0.0,37987.94,0.0,37987.94,Open,GL-INV-00195,Sara Hill,Midwest,PO-547494,
INV-00196,CUST-032,2026-02-22,2026-04-08,2026-02,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,6,7399.59,44397.53,0.0,44397.53,0.0,44397.53,Open,GL-INV-00196,Brett Long,Northeast,PO-195656,
INV-00197,CUST-033,2026-02-24,2026-03-26,2026-02,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,4,7577.96,30311.83,0.0,30311.83,0.0,30311.83,Paid,GL-INV-00197,Nadia Osei,Southeast,PO-683397,
INV-00198,CUST-034,2026-02-14,2026-04-15,2026-02,PROD-009,BioTrack Monitoring Software (Annual),Software,3,26687.58,80062.75,0.0,80062.75,0.0,80062.75,Open,GL-INV-00198,Nadia Osei,West,PO-856086,
INV-00199,CUST-035,2026-02-04,2026-03-21,2026-02,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,10,6357.73,63577.29,0.0,63577.29,0.0,63577.29,Paid,GL-INV-00199,Yuki Tanaka,International,PO-323072,
INV-00200,CUST-036,2026-02-12,2026-03-14,2026-02,PROD-008,CytoGuard ELISA Kit,Diagnostic,115,867.22,99730.14,0.0,99730.14,0.0,99730.14,Paid,GL-INV-00200,Yuki Tanaka,Midwest,PO-220465,
INV-00201,CUST-036,2026-02-26,2026-03-28,2026-02,PROD-013,RegulatoryAI Platform License,Software,5,18783.45,93917.25,0.0,93917.25,0.0,93917.25,Short Pay - Open,GL-INV-00201,Brett Long,International,PO-904711,SCENARIO: Short pay; balance due 7409.4
INV-00202,CUST-036,2026-02-22,2026-03-24,2026-02,PROD-014,Clinical Trial Supply Kit,Clinical Supply,1,9996.36,9996.36,0.0,9996.36,0.0,9996.36,Paid,GL-INV-00202,Nadia Osei,Northeast,PO-289179,
INV-00203,CUST-037,2026-02-12,2026-03-14,2026-02,PROD-013,RegulatoryAI Platform License,Software,5,20346.92,101734.59,0.0,101734.59,0.0,101734.59,Open,GL-INV-00203,Sara Hill,Southeast,PO-250210,
INV-00204,CUST-037,2026-02-24,2026-03-26,2026-02,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,1,77978.69,77978.69,0.0,77978.69,0.0,77978.69,Open,GL-INV-00204,Sara Hill,Northeast,PO-882354,
INV-00205,CUST-038,2026-02-06,2026-03-23,2026-02,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,14,12160.94,170253.12,0.0,170253.12,0.0,170253.12,Open,GL-INV-00205,Nadia Osei,Midwest,PO-856648,
INV-00206,CUST-039,2026-02-05,2026-03-07,2026-02,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,1,95271.02,95271.02,0.0,95271.02,0.0,95271.02,Paid,GL-INV-00206,Tom Kane,International,PO-152179,
INV-00207,CUST-040,2026-02-16,2026-03-18,2026-02,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,29,6925.65,200843.86,0.0,200843.86,0.0,200843.86,Paid,GL-INV-00207,Yuki Tanaka,West,PO-534303,
INV-00208,CUST-041,2026-02-14,2026-03-16,2026-02,PROD-013,RegulatoryAI Platform License,Software,3,16712.18,50136.54,0.0,50136.54,0.0,50136.54,Open,GL-INV-00208,Sara Hill,Midwest,PO-811163,
INV-00209,CUST-042,2026-02-02,2026-03-04,2026-02,PROD-008,CytoGuard ELISA Kit,Diagnostic,135,832.09,112332.26,0.0,112332.26,0.0,112332.26,Paid,GL-INV-00209,Tom Kane,West,PO-728437,
INV-00210,CUST-043,2026-02-25,2026-04-11,2026-02,PROD-004,GenomiX Sequencing Panel,Diagnostic,10,4318.06,43180.58,0.0,43180.58,0.0,43180.58,Paid,GL-INV-00210,Tom Kane,Midwest,PO-403507,
INV-00211,CUST-044,2026-02-06,2026-04-07,2026-02,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,64,4890.39,312985.02,0.0,312985.02,0.0,312985.02,Paid,GL-INV-00211,Tom Kane,West,PO-658453,
INV-00212,CUST-044,2026-02-27,2026-04-28,2026-02,PROD-012,PharmaGrade Excipient Bulk,Raw Material,15,3280.21,49203.15,0.0,49203.15,0.0,49203.15,Open,GL-INV-00212,Nadia Osei,Northeast,PO-516359,
INV-00213,CUST-044,2026-02-01,2026-04-02,2026-02,PROD-014,Clinical Trial Supply Kit,Clinical Supply,12,8650.47,103805.61,0.0,103805.61,0.0,103805.61,Open,GL-INV-00213,Brett Long,Northeast,PO-428267,
INV-00214,CUST-045,2026-02-14,2026-04-15,2026-02,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,4,91576.85,366307.41,0.0,366307.41,0.0,366307.41,Open,GL-INV-00214,Nadia Osei,Northeast,PO-524707,
INV-00215,CUST-045,2026-02-20,2026-04-21,2026-02,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,6,4243.36,25460.14,0.0,25460.14,0.0,25460.14,Open,GL-INV-00215,Brett Long,Midwest,PO-192410,
INV-00216,CUST-046,2026-02-13,2026-04-14,2026-02,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,16,8273.14,132370.19,0.0,132370.19,0.0,132370.19,Open,GL-INV-00216,Yuki Tanaka,Northeast,PO-514991,
INV-00217,CUST-046,2026-02-08,2026-04-09,2026-02,PROD-014,Clinical Trial Supply Kit,Clinical Supply,10,10321.29,103212.86,0.0,103212.86,0.0,103212.86,Open,GL-INV-00217,Nadia Osei,Southeast,PO-180089,
INV-00218,CUST-047,2026-02-12,2026-04-13,2026-02,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,7,9237.14,64659.99,0.0,64659.99,0.0,64659.99,Paid,GL-INV-00218,Nadia Osei,Southeast,PO-347745,
INV-00219,CUST-048,2026-02-05,2026-03-07,2026-02,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,13,6131.94,79715.17,0.0,79715.17,0.0,79715.17,Paid,GL-INV-00219,Sara Hill,Southeast,PO-910389,
INV-00220,CUST-048,2026-02-19,2026-03-21,2026-02,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,8,22351.74,178813.94,0.0,178813.94,0.0,178813.94,Paid,GL-INV-00220,Yuki Tanaka,West,PO-814220,
INV-00221,CUST-048,2026-02-21,2026-03-23,2026-02,PROD-015,BioProcess Training Service,Professional Service,3,4464.25,13392.74,0.0,13392.74,0.0,13392.74,Paid,GL-INV-00221,Nadia Osei,Southeast,PO-561124,
INV-00222,CUST-049,2026-02-19,2026-03-21,2026-02,PROD-008,CytoGuard ELISA Kit,Diagnostic,156,857.28,133736.35,0.0,133736.35,0.0,133736.35,Paid,GL-INV-00222,Sara Hill,Midwest,PO-631981,
INV-00223,CUST-049,2026-02-02,2026-03-04,2026-02,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,5,8326.57,41632.86,0.0,41632.86,0.0,41632.86,Paid,GL-INV-00223,Sara Hill,Midwest,PO-972097,
INV-00224,CUST-049,2026-02-28,2026-03-30,2026-02,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,2,6897.58,13795.17,0.0,13795.17,0.0,13795.17,Paid,GL-INV-00224,Sara Hill,International,PO-722937,
INV-00225,CUST-050,2026-02-26,2026-03-28,2026-02,PROD-008,CytoGuard ELISA Kit,Diagnostic,22,789.7,17373.36,0.0,17373.36,0.0,17373.36,Paid,GL-INV-00225,Yuki Tanaka,Southeast,PO-437145,
INV-00226,CUST-051,2026-02-15,2026-03-17,2026-02,PROD-009,BioTrack Monitoring Software (Annual),Software,2,28485.76,56971.53,0.0,56971.53,0.0,56971.53,Paid,GL-INV-00226,Sara Hill,Midwest,PO-849014,
